r,l,t,f,y,UseByTechnology
RE1,S12,PWRWND,WND,2031,0.0
RE1,S12,PWRWND,WND,2032,0.0
RE1,S12,PWRWND,WND,2033,0.0
RE1,S12,PWRWND,WND,2034,0.0
RE1,S12,PWRWND,WND,2035,0.0
RE1,S12,PWRWND,WND,2036,0.0
RE1,S12,PWRWND,WND,2037,0.0
RE1,S12,PWRWND,WND,2038,0.0
RE1,S12,PWRWND,WND,2039,0.0
RE1,S12,PWRWND,WND,2040,0.0
RE1,S21,PWRCOA,COA,2020,0.0
RE1,S21,PWRCOA,COA,2021,0.0
RE1,S21,PWRCOA,COA,2022,0.0
RE1,S21,PWRCOA,COA,2023,0.0
RE1,S21,PWRCOA,COA,2024,0.0
RE1,S21,PWRCOA,COA,2025,0.0
RE1,S21,PWRCOA,COA,2026,0.0
RE1,S21,PWRCOA,COA,2027,0.0
RE1,S21,PWRCOA,COA,2028,0.0
RE1,S21,PWRCOA,COA,2029,0.0
RE1,S21,PWRCOA,COA,2030,0.0
RE1,S21,PWRCOA,COA,2031,0.0
RE1,S21,PWRCOA,COA,2032,0.0
RE1,S21,PWRCOA,COA,2033,0.0
RE1,S21,PWRCOA,COA,2034,0.0
RE1,S21,PWRCOA,COA,2035,0.0
RE1,S21,PWRCOA,COA,2036,0.0
RE1,S21,PWRCOA,COA,2037,0.0
RE1,S21,PWRCOA,COA,2038,0.0
RE1,S21,PWRCOA,COA,2039,0.0
RE1,S21,PWRCOA,COA,2040,0.0
