r,l,t,m,f,y,RateOfUseByTechnologyByMode
RE1,S21,PWRCOA,1,COA,2025,0.0
RE1,S21,PWRCOA,1,COA,2026,0.0
RE1,S21,PWRCOA,1,COA,2027,0.0
RE1,S21,PWRCOA,1,COA,2028,0.0
RE1,S21,PWRCOA,1,COA,2029,0.0
RE1,S21,PWRCOA,1,COA,2030,0.0
RE1,S21,PWRCOA,1,COA,2031,0.0
RE1,S21,PWRCOA,1,COA,2032,0.0
RE1,S21,PWRCOA,1,COA,2033,0.0
RE1,S21,PWRCOA,1,COA,2034,0.0
RE1,S21,PWRCOA,1,COA,2035,0.0
RE1,S21,PWRCOA,1,COA,2036,0.0
RE1,S21,PWRCOA,1,COA,2037,0.0
RE1,S21,PWRCOA,1,COA,2038,0.0
RE1,S21,PWRCOA,1,COA,2039,0.0
RE1,S21,PWRCOA,1,COA,2040,0.0
RE1,S21,PWRGAS,1,GAS,2020,232.9412
RE1,S21,PWRGAS,1,GAS,2021,239.9294
RE1,S21,PWRGAS,1,GAS,2022,247.1273
RE1,S21,PWRGAS,1,GAS,2023,254.5411
RE1,S21,PWRGAS,1,GAS,2024,262.1774
RE1,S21,PWRGAS,1,GAS,2025,270.0427
RE1,S21,PWRGAS,1,GAS,2026,278.144
RE1,S21,PWRGAS,1,GAS,2027,286.4883
RE1,S21,PWRGAS,1,GAS,2028,295.0829
RE1,S21,PWRGAS,1,GAS,2029,303.9354
RE1,S21,PWRGAS,1,GAS,2030,313.0535
RE1,S21,PWRGAS,1,GAS,2031,322.4451
RE1,S21,PWRGAS,1,GAS,2032,332.1184
RE1,S21,PWRGAS,1,GAS,2033,342.082
RE1,S21,PWRGAS,1,GAS,2034,352.3444
RE1,S21,PWRGAS,1,GAS,2035,362.9148
RE1,S21,PWRGAS,1,GAS,2036,373.8022
RE1,S21,PWRGAS,1,GAS,2037,385.0163
RE1,S21,PWRGAS,1,GAS,2038,396.5668
RE1,S21,PWRGAS,1,GAS,2039,408.4638
RE1,S21,PWRGAS,1,GAS,2040,420.7177
RE1,S21,PWRHYD,1,HYD,2020,0.0
RE1,S21,PWRHYD,1,HYD,2021,0.0
RE1,S21,PWRHYD,1,HYD,2022,0.0
RE1,S21,PWRHYD,1,HYD,2023,0.0
RE1,S21,PWRHYD,1,HYD,2024,0.0
RE1,S21,PWRHYD,1,HYD,2025,0.0
RE1,S21,PWRHYD,1,HYD,2026,0.0
RE1,S21,PWRHYD,1,HYD,2027,0.0
RE1,S21,PWRHYD,1,HYD,2028,0.0
RE1,S21,PWRHYD,1,HYD,2029,0.0
RE1,S21,PWRHYD,1,HYD,2030,0.0
RE1,S21,PWRHYD,1,HYD,2031,0.0
RE1,S21,PWRHYD,1,HYD,2032,0.0
RE1,S21,PWRHYD,1,HYD,2033,0.0
RE1,S21,PWRHYD,1,HYD,2034,0.0
RE1,S21,PWRHYD,1,HYD,2035,0.0
RE1,S21,PWRHYD,1,HYD,2036,0.0
RE1,S21,PWRHYD,1,HYD,2037,0.0
RE1,S21,PWRHYD,1,HYD,2038,0.0
RE1,S21,PWRHYD,1,HYD,2039,0.0
RE1,S21,PWRHYD,1,HYD,2040,0.0
RE1,S21,PWRSOL,1,SOL,2020,0.0
RE1,S21,PWRSOL,1,SOL,2021,0.0
RE1,S21,PWRSOL,1,SOL,2022,0.0
RE1,S21,PWRSOL,1,SOL,2023,0.0
RE1,S21,PWRSOL,1,SOL,2024,0.0
RE1,S21,PWRSOL,1,SOL,2025,0.0
RE1,S21,PWRSOL,1,SOL,2026,0.0
RE1,S21,PWRSOL,1,SOL,2027,0.0
RE1,S21,PWRSOL,1,SOL,2028,0.0
RE1,S21,PWRSOL,1,SOL,2029,0.0
RE1,S21,PWRSOL,1,SOL,2030,0.0
RE1,S21,PWRSOL,1,SOL,2031,0.0
RE1,S21,PWRSOL,1,SOL,2032,0.0
RE1,S21,PWRSOL,1,SOL,2033,0.0
RE1,S21,PWRSOL,1,SOL,2034,0.0
RE1,S21,PWRSOL,1,SOL,2035,0.0
RE1,S21,PWRSOL,1,SOL,2036,0.0
RE1,S21,PWRSOL,1,SOL,2037,0.0
RE1,S21,PWRSOL,1,SOL,2038,0.0
RE1,S21,PWRSOL,1,SOL,2039,0.0
RE1,S21,PWRSOL,1,SOL,2040,0.0
RE1,S21,PWRTRN,1,ELC001,2020,116.4706
RE1,S21,PWRTRN,1,ELC001,2021,119.9647
RE1,S21,PWRTRN,1,ELC001,2022,123.5636
RE1,S21,PWRTRN,1,ELC001,2023,127.2706
RE1,S21,PWRTRN,1,ELC001,2024,131.0887
RE1,S21,PWRTRN,1,ELC001,2025,135.0213
RE1,S21,PWRTRN,1,ELC001,2026,139.072
RE1,S21,PWRTRN,1,ELC001,2027,143.2441
RE1,S21,PWRTRN,1,ELC001,2028,147.5415
RE1,S21,PWRTRN,1,ELC001,2029,151.9677
RE1,S21,PWRTRN,1,ELC001,2030,156.5267
RE1,S21,PWRTRN,1,ELC001,2031,161.2225
RE1,S21,PWRTRN,1,ELC001,2032,166.0592
RE1,S21,PWRTRN,1,ELC001,2033,171.041
RE1,S21,PWRTRN,1,ELC001,2034,176.1722
RE1,S21,PWRTRN,1,ELC001,2035,181.4574
RE1,S21,PWRTRN,1,ELC001,2036,186.9011
RE1,S21,PWRTRN,1,ELC001,2037,192.5081
RE1,S21,PWRTRN,1,ELC001,2038,198.2834
RE1,S21,PWRTRN,1,ELC001,2039,204.2319
RE1,S21,PWRTRN,1,ELC001,2040,210.3588
RE1,S21,PWRWND,1,WND,2020,0.0
RE1,S21,PWRWND,1,WND,2021,0.0
RE1,S21,PWRWND,1,WND,2022,0.0
RE1,S21,PWRWND,1,WND,2023,0.0
RE1,S21,PWRWND,1,WND,2024,0.0
RE1,S21,PWRWND,1,WND,2025,0.0
RE1,S21,PWRWND,1,WND,2026,0.0
RE1,S21,PWRWND,1,WND,2027,0.0
RE1,S21,PWRWND,1,WND,2028,0.0
RE1,S21,PWRWND,1,WND,2029,0.0
RE1,S21,PWRWND,1,WND,2030,0.0
RE1,S21,PWRWND,1,WND,2031,0.0
RE1,S21,PWRWND,1,WND,2032,0.0
RE1,S21,PWRWND,1,WND,2033,0.0
RE1,S21,PWRWND,1,WND,2034,0.0
RE1,S21,PWRWND,1,WND,2035,0.0
RE1,S21,PWRWND,1,WND,2036,0.0
RE1,S21,PWRWND,1,WND,2037,0.0
