r,l,t,m,y,RateOfActivity
RE1,S21,DEMPWRSURWAT,1,2030,0.0
RE1,S21,DEMPWRSURWAT,1,2031,0.0
RE1,S21,DEMPWRSURWAT,1,2032,0.0
RE1,S21,DEMPWRSURWAT,1,2033,0.0
RE1,S21,DEMPWRSURWAT,1,2034,0.0
RE1,S21,DEMPWRSURWAT,1,2035,0.0
RE1,S21,LNDBLT,1,2020,9.901
RE1,S21,LNDBLT,1,2021,10.198
RE1,S21,LNDBLT,1,2022,10.4951
RE1,S21,LNDBLT,1,2023,10.7921
RE1,S21,LNDBLT,1,2024,11.1881
RE1,S21,LNDBLT,1,2025,11.4851
RE1,S21,LNDBLT,1,2026,11.7822
RE1,S21,LNDBLT,1,2027,12.1782
RE1,S21,LNDBLT,1,2028,12.5743
RE1,S21,LNDBLT,1,2029,12.8713
RE1,S21,LNDBLT,1,2030,13.2673
RE1,S21,LNDBLT,1,2031,13.6634
RE1,S21,LNDBLT,1,2032,14.1584
RE1,S21,LNDBLT,1,2033,14.5545
RE1,S21,LNDBLT,1,2034,14.9505
RE1,S21,LNDBLT,1,2035,15.4455
RE1,S21,LNDFOR,1,2020,182.6733
