r,t,y,AnnualVariableOperatingCost
RE1,MINPRC,2024,0.036
RE1,MINPRC,2025,0.036
RE1,MINPRC,2026,0.036
RE1,MINPRC,2027,0.036
RE1,MINPRC,2028,0.036
RE1,MINPRC,2029,0.036
RE1,MINPRC,2030,0.036
RE1,MINPRC,2031,0.036
RE1,MINPRC,2032,0.036
RE1,MINPRC,2033,0.036
RE1,MINPRC,2034,0.036
RE1,MINPRC,2035,0.036
RE1,MINSOL,2020,0.0012
RE1,MINSOL,2021,0.0001
RE1,MINSOL,2022,0.0001
RE1,MINSOL,2023,0.0001
RE1,MINSOL,2024,0.0004
RE1,MINSOL,2025,0.0004
RE1,MINSOL,2026,0.0004
RE1,MINSOL,2027,0.0004
RE1,MINSOL,2028,0.0004
RE1,MINSOL,2029,0.0004
RE1,MINSOL,2030,0.0004
RE1,MINSOL,2031,0.0004
RE1,MINSOL,2032,0.0004
RE1,MINSOL,2033,0.0004
RE1,MINSOL,2034,0.0004
RE1,MINSOL,2035,0.0004
RE1,MINWND,2020,0.001
RE1,MINWND,2021,0.0022
RE1,MINWND,2022,0.0022
RE1,MINWND,2023,0.0023
RE1,MINWND,2024,0.0009
RE1,MINWND,2025,0.0009
RE1,MINWND,2026,0.0009
RE1,MINWND,2027,0.0014
RE1,MINWND,2028,0.0022
RE1,MINWND,2029,0.0029
RE1,MINWND,2030,0.0071
RE1,MINWND,2031,0.007
RE1,MINWND,2032,0.0075
RE1,MINWND,2033,0.0075
RE1,MINWND,2034,0.0077
RE1,MINWND,2035,0.008
RE1,PWRCOA,2020,0.0042
RE1,PWRCOA,2021,0.0042
RE1,PWRCOA,2022,0.0043
RE1,PWRCOA,2023,0.0044
RE1,PWRCOA,2024,0.0071
RE1,PWRCOA,2025,0.0069
RE1,PWRCOA,2026,0.0071
RE1,PWRCOA,2027,0.0068
RE1,PWRCOA,2028,0.0064
RE1,PWRCOA,2029,0.006
RE1,PWRCOA,2030,0.002
RE1,PWRCOA,2031,0.002
RE1,PWRCOA,2032,0.002
RE1,PWRCOA,2033,0.0021
RE1,PWRCOA,2034,0.0021
RE1,PWRCOA,2035,0.0021
RE1,PWRGAS,2020,0.002
RE1,PWRGAS,2021,0.0022
RE1,PWRGAS,2022,0.0023
RE1,PWRGAS,2023,0.0024
RE1,PWRGAS,2024,0.0025
RE1,PWRGAS,2025,0.0025
RE1,PWRGAS,2026,0.0027
RE1,PWRGAS,2027,0.0027
RE1,PWRGAS,2028,0.0027
RE1,PWRGAS,2029,0.0027
RE1,PWRGAS,2030,0.0031
RE1,PWRGAS,2031,0.0032
RE1,PWRGAS,2032,0.0033
RE1,PWRGAS,2033,0.0034
RE1,PWRGAS,2034,0.0035
RE1,PWRGAS,2035,0.0037
RE1,PWRHYD,2020,0.0026
RE1,PWRHYD,2021,0.0026
RE1,PWRHYD,2022,0.0026
RE1,PWRHYD,2023,0.0026
RE1,PWRHYD,2024,0.0012
RE1,PWRHYD,2025,0.0018
RE1,PWRHYD,2026,0.0018
RE1,PWRHYD,2027,0.0018
RE1,PWRHYD,2028,0.0018
RE1,PWRHYD,2029,0.0018
RE1,PWRHYD,2030,0.0014
RE1,PWRHYD,2031,0.0018
RE1,PWRHYD,2032,0.0014
RE1,PWRHYD,2033,0.0018
RE1,PWRHYD,2034,0.0018
RE1,PWRHYD,2035,0.0018
RE1,PWRSOL,2020,0.0012
RE1,PWRSOL,2021,0.0001
RE1,PWRSOL,2022,0.0001
RE1,PWRSOL,2023,0.0001
RE1,PWRSOL,2024,0.0004
RE1,PWRSOL,2025,0.0004
RE1,PWRSOL,2026,0.0004
RE1,PWRSOL,2027,0.0004
RE1,PWRSOL,2028,0.0004
RE1,PWRSOL,2029,0.0004
