t,f,m,y,InputActivityRatio,l,YearSplit,r,RateOfActivity,UseByTechnology
LNDRICHI,WTRPRC,1,2023,1.2,S11,2.0,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2026,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2028,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2029,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2030,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2031,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2032,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2033,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2034,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2035,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2020,1.0,S11,2.0,RE1,0.0,0.0
LNDRICHR,LND,1,2021,1.0,S11,2.0,RE1,15.4,30.8
LNDRICHR,LND,1,2022,1.0,S11,2.0,RE1,15.75,31.5
LNDRICHR,LND,1,2023,1.0,S11,2.0,RE1,16.15,32.3
LNDRICHR,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2026,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2028,1.0,S11,0.45,RE1,81.3333,36.6
LNDRICHR,LND,1,2029,1.0,S11,0.45,RE1,83.3333,37.5
LNDRICHR,LND,1,2030,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2031,1.0,S11,0.45,RE1,87.5556,39.4
LNDRICHR,LND,1,2032,1.0,S11,0.45,RE1,0.0,0.0
