r,rr,l,f,y,Trade
RE1,RE1,S11,ELCB02,2047,0
RE1,RE1,S11,ELCB02,2048,0
RE1,RE1,S11,ELCB02,2049,0
RE1,RE1,S11,ELCB02,2050,0
RE1,RE1,S11,ELCC01,2017,0
RE1,RE1,S11,ELCC01,2018,0
RE1,RE1,S11,ELCC01,2019,0
RE1,RE1,S11,ELCC01,2020,0
RE1,RE1,S11,ELCC01,2021,0
RE1,RE1,S11,ELCC01,2022,0
RE1,RE1,S11,ELCC01,2023,0
RE1,RE1,S11,ELCC01,2024,0
RE1,RE1,S11,ELCC01,2025,0
RE1,RE1,S11,ELCC01,2026,0
RE1,RE1,S11,ELCC01,2027,0
RE1,RE1,S11,ELCC01,2028,0
RE1,RE1,S11,ELCC01,2029,0
RE1,RE1,S11,ELCC01,2030,0
RE1,RE1,S11,ELCC01,2031,0
RE1,RE1,S11,ELCC01,2032,0
RE1,RE1,S11,ELCC01,2033,0
